Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Procore ID (v35),Procore User Type (v36),Form ID (v50),Form View (event46)
https://stg.procore.com/,procoredev,200,stg.procore.com|US|N/A,N/A,stg.procore.com,Form Viewed Event,2019-07-26T16:20:27.651-07:00,3989899729,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/,,Prospect,4876,1
https://stg.procore.com/,procoredev,200,stg.procore.com|US|N/A,N/A,stg.procore.com,Form Viewed Event,2019-07-26T16:20:30.600-07:00,3989899729,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/?test=query,procoredev,200,stg.procore.com|US|N/A,N/A,stg.procore.com,Form Viewed Event,2019-07-26T16:20:38.400-07:00,6603732351,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/?test=query,procoredev,200,stg.procore.com|US|N/A,N/A,stg.procore.com,Form Viewed Event,2019-07-26T16:20:39.759-07:00,6603732351,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/?test=query-with-frag,procoredev,200,stg.procore.com|US|N/A,N/A,stg.procore.com,Form Viewed Event,2019-07-26T16:20:41.157-07:00,2462328812,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/?test=query-with-frag,procoredev,200,stg.procore.com|US|N/A,N/A,stg.procore.com,Form Viewed Event,2019-07-26T16:20:42.173-07:00,2462328812,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procoredev,200,stg.procore.com|US|N/A,N/A,stg.procore.com,Form Viewed Event,2019-07-26T16:20:43.844-07:00,9926898905,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procoredev,200,stg.procore.com|US|N/A,N/A,stg.procore.com,Form Viewed Event,2019-07-26T16:20:45.216-07:00,9926898905,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/about,procoredev,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,Form Viewed Event,2019-07-26T16:20:46.436-07:00,4217438245,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/about,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/about,procoredev,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,Form Viewed Event,2019-07-26T16:20:47.542-07:00,4217438245,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/about,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/blueprint,procoredev,200,stg.procore.com|US|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Form Viewed Event,2019-07-26T16:20:48.797-07:00,2779169863,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/blueprint,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/blueprint,procoredev,200,stg.procore.com|US|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Form Viewed Event,2019-07-26T16:20:50.526-07:00,2779169863,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/blueprint,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/buildersclub,procoredev,200,stg.procore.com|US|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Form Viewed Event,2019-07-26T16:20:51.622-07:00,5039759027,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/buildersclub,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/buildersclub,procoredev,200,stg.procore.com|US|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Form Viewed Event,2019-07-26T16:20:53.343-07:00,5039759027,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/buildersclub,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/certification,procoredev,200,stg.procore.com|US|Resource|Certification,Resource|Certification,stg.procore.com,Form Viewed Event,2019-07-26T16:20:54.331-07:00,9328256568,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/certification,testid-1234567890,Customer/Collaborator,4876,1
